1968640492,https://dl.dropboxusercontent.com/u/17481094/15foodtruck_2.jpg,Hot Dog,$1.25,,,,,,,Hot Sausage,$2.50,Mild Sausage,$2.50,Meat Ball,$3,Kielbasa,$3,Italian Sausage,$3,Hot Dog With Cheese,$1.50,Hot Dog With Chili,$1.50,,
1968622989,https://dl.dropboxusercontent.com/u/17481094/16foodtruck_2.jpg,Hot Dog,$1.25,Kielbasa,$3,Italian Sausage,$3,Meatball,$3,Hot Dog With Chili,$1.50,Hot Dog With Cheese,$1.50,Hot Sausage,$2.50,Mild Sausage,$2.50,Hot Sausage With Chili,$3,Mild Sausage With Chili,$3,Hot Sausage With Cheese,$3,Mild Sausage With Cheese,$3
1968601238,https://dl.dropboxusercontent.com/u/17481094/17foodtruck_2.jpg,Bean Burrito,$2.50,Shrimp Burrito,$5,,,,,Sweet Potato Burrito,$3.50,Roasted Peppers Burrito,$3.50,Spinach Burrito,$3.50,Eggplant Burrito,$3.50,Plantain Burrito,$3.50,Tofu Burrito,$3.50,Shredded Roast Beef Burrito,$4,Shredded Chicken Breast Burrito,$4
1968621112,https://dl.dropboxusercontent.com/u/17481094/18foodtruck_2.jpg,Chicken,$0,,,,,,,Beef,$0,Chorizo,$0,Steak,$0.50,Spinach,$0,Sweet Potato,$0,Veg Medley,$0,Plantain,$0,Chickpea,$0
1968634909,https://dl.dropboxusercontent.com/u/17481094/19foodtruck_2.jpg,Chicken W Salad,$5,,,,,,,Tilapia Fish W Salad,$5,Lamb W/ Salad,$5,Combo Salad,$5,Chicken Gyro,$4,Lamb Gyro,$4,Combo Gyro,$4,Fish Gyro,$4,Falafel Gyro,$4
1968654790,https://dl.dropboxusercontent.com/u/17481094/20foodtruck_2.jpg,Egg Roll,$1,,,,,,,Shrimp Roll,$1,Wonton Soup,$1.50,Chicken Soup,$1.50,Chicken Noodle Soup,$1.75,Vegetable Soup,$1.50,,,,,,
1968637433,https://dl.dropboxusercontent.com/u/17481094/21foodtruck_2.jpg,Chicken Kebab,$5,,,,,,,Gyro,$5,Kofte,$4,Falafel,$4,,,,,,,,,,
1968636721,https://dl.dropboxusercontent.com/u/17481094/22foodtruck_2.jpg,,,,,,,,,,,,,,,,,,,,,,,,
1968608198,https://dl.dropboxusercontent.com/u/17481094/23foodtruck_2.jpg,Cabbage,$0,,,,,,,Rice,$0,String Beans,$0,Collard Greens,$0,,,,,,,,,,
1968608201,https://dl.dropboxusercontent.com/u/17481094/25foodtruck_2.jpg,Chicken Italiano,$7,,,,,,,Chicken Parm,$6.50,BBQ Chicken,$6.50,,,,,,,,,,,,
1968628687,https://dl.dropboxusercontent.com/u/17481094/26foodtruck_2.jpg,Stuffed Grape Leaves and Feta Cheese,$1,,,,,,,,,,,,,,,,,,,,,,
1968612810,https://dl.dropboxusercontent.com/u/17481094/28foodtruck_2.jpg,Wonton Soup (Pt.),$1.25,,,,,,,Wonton Soup (Qt.),$2.25,Hot & Sour Soup (Pt.),$1.25,Hot & Sour Soup (Qt.),$2.25,Chicken Veg. Soup (Pt.),$1.50,Chicken Veg. Soup (Qt.),$2.50,House Special Wonton Soup (Qt.),$4,,,,
1968670657,https://dl.dropboxusercontent.com/u/17481094/29foodtruck_2.jpg,Chicken Fajita Burrito,$6,,,,,,,Beef Fajita Burrito,$6.75,Pork Fajita Burrito,$6,Pollo Y Papas Burrito,$6,Chicken Primavera Burrito,$6,The Mexi Burrito,$6,The Cali Burrito,$6,Chicken & Chorizo Burrito,$6,Beef & Chorizo Burrito,$6.75
1968599332,https://dl.dropboxusercontent.com/u/17481094/1foodtruck_3.jpg,Small,$4,Can-Soda,$0.75,Bottle-Soda,$1.50,Juice,$1.50,Medium,$4.50,Large,$5,Mango,$4.25,Apple,$1.50,Orange,$0.60,Grape,$2,Strawberry,$2,Banana,$0.50
1968646034,https://dl.dropboxusercontent.com/u/17481094/2foodtruck_3.jpg,Cucumber Roll,$2,Alaska Roll,$3.50,Philly Roll,$3,California Roll,$3,Avocado Roll,$2,Avocado Cucumber Roll,$2.50,Garden Roll,$2.50,Tuna Roll,$3,Spicy Tuna Roll,$3.50,Salmon Roll,$3,Spicy Salmon Roll,$3.50,Eel Roll,$3
1968664993,https://dl.dropboxusercontent.com/u/17481094/3foodtruck_3.jpg,Grilled Cheese,$2.50,,,,,,,Grilled Cheese and Tomatoes,$2.75,Grilled Ham and Cheese,$3.75,Grilled Turkey and Cheese,$3.75,Grilled Corned Beef and Cheese,$3.75,Grilled Roast Beef and Cheese,$3.75,Grilled Bacon and Cheese,$3.75,,,,
