1968618226,https://dl.dropboxusercontent.com/u/17481094/9foodtruck_1.jpg,Chicken Salad,$5,,,,,,,Chicken on Pita,$4,Lamb Gyeo,$4,Lamb Salad,$5,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/9foodtruck_1.jpg
1968627306,https://dl.dropboxusercontent.com/u/17481094/9foodtruck_1.jpg,2,$2,2,$2.00,2,$2,2,$2.00,2,$2.00,2,$2,2,$2.00,2,$2,2,$2.00,2,$2.00,2,$2.00,2,$2,https://dl.dropboxusercontent.com/u/17481094/9foodtruck_1.jpg
1968597170,https://dl.dropboxusercontent.com/u/17481094/10foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/10foodtruck_1.jpg
1968597596,https://dl.dropboxusercontent.com/u/17481094/10foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/10foodtruck_1.jpg
1968616619,https://dl.dropboxusercontent.com/u/17481094/10foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/10foodtruck_1.jpg
1968592967,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_1.jpg
1968596166,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_1.jpg,Noodies Rice,$5.75,Vegetable,$4.50,Rice,$6.50,Roost Park,$4.50,Noodies,$4,Soud,$5,White Rice,$5.20,Rice,$4,Lo Mein Noodies,$4.10,Chicken,$5.50,Camaron,$5.30,Shrimp,$6.90,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_1.jpg
1968598875,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_1.jpg,Chicken Wings (4),$4,Plain Fried Rice SM,$1.50,Vegetable Fried Rice LG,$4,Plain Fried Rice LG,$3,Rice Noodle Soup,$1.75,Egg Roll,$1,Shrimp Roll,$1,Vegetable Roll,$1,Edamame,$3,Fried Breaded Tofu,$3.50,Steam Tofu,$3,Crab & Cheese Dumplings,$3.50,https://dl.dropboxusercontent.com/u/17481094/11foodtruck_1.jpg
1968592472,https://dl.dropboxusercontent.com/u/17481094/12foodtruck_1.jpg,Tofu Over Rice,$5,,,,,,,Thai Basil Chicken Quesadilla,$6,Thai Ice Tea,$2,Sodas,$1,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/12foodtruck_1.jpg
1968593350,https://dl.dropboxusercontent.com/u/17481094/12foodtruck_1.jpg,Tofu Over Rice,$5,,,,,,,Thail Basil Chicken Quesadilla,$6,Thai Ice Tea,$2,Sodas,$1,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/12foodtruck_1.jpg
1968605847,https://dl.dropboxusercontent.com/u/17481094/12foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/12foodtruck_1.jpg
1968595606,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_1.jpg
1968596792,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_1.jpg
1968620156,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_1.jpg,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,NOT PHOTO,$1,https://dl.dropboxusercontent.com/u/17481094/13foodtruck_1.jpg
1968595201,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_1.jpg,None,$0,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_1.jpg
1968598805,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_1.jpg
1968617734,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/14foodtruck_1.jpg
1968593926,https://dl.dropboxusercontent.com/u/17481094/15foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/15foodtruck_1.jpg
1968594031,https://dl.dropboxusercontent.com/u/17481094/15foodtruck_1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://dl.dropboxusercontent.com/u/17481094/15foodtruck_1.jpg
